# EUC,SJIS
0xa8bc,0x84ba
0xa8bd,0x84bb
0xa8be,0x84bc
0xa8bf,0x84bd
0xa8c0,0x84be
0xa8c1,0x84bf
0xa8c2,0x84c0
0xa8c3,0x84c1
0xa8c4,0x84c2
0xa8c5,0x84c3
0xa8c6,0x84c4
0xa8c7,0x84c5
0xa8c8,0x84c6
0xa8c9,0x84c7
0xa8ca,0x84c8
0xa8cb,0x84c9
0xa8cc,0x84ca
0xa8cd,0x84cb
0xa8ce,0x84cc
0xa8cf,0x84cd
0xa8d0,0x84ce
0xa8d1,0x84cf
0xa8d2,0x84d0
0xa8d3,0x84d1
0xa8d4,0x84d2
0xa8d5,0x84d3
0xa8d6,0x84d4
0xa8d7,0x84d5
0xa8d8,0x84d6
0xa8d9,0x84d7
0xa8da,0x84d8
0xa8db,0x84d9
0xa8dc,0x84da
0xa8dd,0x84db
0xa8de,0x84dc
0xa8df,0x84dd
0xa8e0,0x84de
0xa8e1,0x84df
0xa8e2,0x84e0
0xa8e3,0x84e1
0xa8e4,0x84e2
0xa8e5,0x84e3
0xa8e6,0x84e4
0xa8e7,0x84e5
0xa8e8,0x84e6
0xa8e9,0x84e7
0xa8ea,0x84e8
0xa8eb,0x84e9
0xa8ec,0x84ea
0xa8ed,0x84eb
0xa8ee,0x84ec
0xa8ef,0x84ed
0xa8f0,0x84ee
0xa8f1,0x84ef
0xa8f2,0x84f0
0xa8f3,0x84f1
0xa8f4,0x84f2
0xa8f5,0x84f3
0xa8f6,0x84f4
0xa8f7,0x84f5
0xa8f8,0x84f6
0xa8f9,0x84f7
0xa8fa,0x84f8
0xa8fb,0x84f9
0xa8fc,0x84fa
0xa8fd,0x84fb
0xa8fe,0x84fc
0xa9a1,0x8540
0xa9a2,0x8541
0xa9a3,0x8542
0xa9a4,0x8543
0xa9a5,0x8544
0xa9a6,0x8545
0xa9a7,0x8546
0xa9a8,0x8547
0xa9a9,0x8548
0xa9aa,0x8549
0xa9ab,0x854a
0xa9ac,0x854b
0xa9ad,0x854c
0xa9ae,0x854d
0xa9af,0x854e
0xa9b0,0x854f
0xa9b1,0x8550
0xa9b2,0x8551
0xa9b3,0x8552
0xa9b4,0x8553
0xa9b5,0x8554
0xa9b6,0x8555
0xa9b7,0x8556
0xa9b8,0x8557
0xa9b9,0x8558
0xa9ba,0x8559
0xa9bb,0x855a
0xa9bc,0x855b
0xa9bd,0x855c
0xa9be,0x855d
0xa9bf,0x855e
0xa9c0,0x855f
0xa9c1,0x8560
0xa9c2,0x8561
0xa9c3,0x8562
